Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Violent AF","Aaron F. Bianchi Jupiter","Violent AF","Brani Preferiti Pubblici","Playlist","QZK6P2373488","5ou1LGaxx6EKxGOPQiydNQ"
"I've Found My Place","Deathkite","Pigs","Brani Preferiti Pubblici","Playlist","SE5Q51809596","4n0IY8YpCPBs0DyNcljFWn"
"An Ode to Doom","The Gee J","An Ode to Doom","Brani Preferiti Pubblici","Playlist","QZNWZ2052503","426KAImjRXNSyo8SzjeJ1Y"
"Deliverance (from God of War)","Geoffplaysguitar","Deliverance (from God of War)","Brani Preferiti Pubblici","Playlist","QZHN32203328","1qoryTcB80pnq7JrdC3kZm"
"Meethook","Doom Eteral","Meethook","Brani Preferiti Pubblici","Playlist","BXVR02263363","1fJWe4LS5GLyss7MGcNxu5"
"POSTAL Brain Damaged Main Theme","Ivory Tower Soundworks","POSTAL: Brain Damaged (Original Game Soundtrack)","Brani Preferiti Pubblici","Playlist","PLI364902600","6SWiOTtUeQizaCH23nm2jH"
"DOOM 3 Theme (From ""DOOM 3"")","Utamaru","DOOM 3 Theme (From ""DOOM 3"")","Brani Preferiti Pubblici","Playlist","QZGWW1907779","0mSbC0BJTXxUVodJvF6S5B"
"Brute Force","Andromida","Infernal Carnage","Brani Preferiti Pubblici","Playlist","QZTAY2241519","0Ggtvjfhi7d13Q89bSzhaC"
"Nine","No Oath","Liminal_","Brani Preferiti Pubblici","Playlist","GBSMU0041420","0TNKUqJkq3UyklAGsro4dY"
"Heavy Duty EX","zYnthetic","Heavy Duty","Brani Preferiti Pubblici","Playlist","USE830975925","1bmwUJDpvA4gAdCwUAclLV"
"Sledge","Dance With the Dead","Driven to Madness","Brani Preferiti Pubblici","Playlist","TCAFY2102422","22xbCw0bxHECvCpk1UZxv9"
"Synthesis","Andromida","Synthesis","Brani Preferiti Pubblici","Playlist","QZK6F2082463","6K3eOhPwC99IS6vHzf9qQX"
"Livitica Void","Geoffplaysguitar","Livitica Void","Brani Preferiti Pubblici","Playlist","QZTB92231685","1uvb5WPVcDN6HQCsiq2uo0"
"Legendary Armaments","ENEMY AC130 ABOVE","Legendary Armaments","Brani Preferiti Pubblici","Playlist","TCAHA2396663","2xSBmOuxFAp517AzveNdv8"
"Exordium","Cody Matthew Johnson","Raid Ready","Brani Preferiti Pubblici","Playlist","QZDA81854296","598XUCuqZOPcnN6Rt7eAkD"
"Siamo tutti morti","Perry Watt","Nexus Arcanum","Brani Preferiti Pubblici","Playlist","QZ22B1921320","0z7PCN00gE5hggil36kcZu"
"Maledetta","Jason Creepy","Maledetta","Brani Preferiti Pubblici","Playlist","QZHN72330558","26bBkTxkuurzW7HFuMrNbi"
"Devil Laugh","Primigenios","Devil Laugh","Brani Preferiti Pubblici","Playlist","QZK6J2281535","1GkTezmjUpbuPF2Cf6wXaE"
"RAVE","Dxrk ダーク","RAVE","Brani Preferiti Pubblici","Playlist","QM4TX2201027","01kfSdF9zfcDLri5sSWEoL"
"LA DISTANCIA","Eternal Raijin","LA DISTANCIA","Brani Preferiti Pubblici","Playlist","QZK6L2074613","4RTg3pDXbHb8vptOy4vjLs"
"LA ESPADA","Eternal Raijin","LA ESPADA","Brani Preferiti Pubblici","Playlist","QZK6L2074963","2KYNQpVdHsqC84TgJa5T7O"
"Dark Streets for Dark Folk","David Csontos","Tales from Limbo","Brani Preferiti Pubblici","Playlist","QZFZ62190699","3ack0mg46iF0Ll5ZAbxG3h"
"Hatred","K$YWA","Hatred","Brani Preferiti Pubblici","Playlist","QZTB62234732","49Gkj0PIwlsKunZCgI3V3a"
"Arrival of the Undead King (feat. 51vk5)","Vetboss","Arrival of the Undead King (feat. 51vk5)","Brani Preferiti Pubblici","Playlist","QZ93L2024173","5m00xcZ0paDMZk20qvkEph"
"Super Soldier","Trailer Bros","Maximus (Soundtrack for Trailers)","Brani Preferiti Pubblici","Playlist","US3DF1934639","0ul58GUYkYfRwAsJdQS98S"
"Orphan of Kos (From ""Bloodborne"") - Synthwave Version","CthulhuSeeker","Orphan of Kos (From ""Bloodborne"") [Synthwave Version]","Brani Preferiti Pubblici","Playlist","QZPJ32252552","2KArD5SPx147zrGtssK0eE"
